# pT_lep2__loop        central        num_err    min (scale)        num_err    max (scale)        num_err
# -induced_QCD.dat
              0              0              0              0              0              0              0
             10              0              0              0              0              0              0
             20      1.3938818   0.0096244997      1.1284027    0.007791415      1.7685091    0.012211233
             30     0.70736884   0.0086141509     0.57264319   0.0069734975     0.89748514    0.010929337
             40     0.23771502   0.0027621086     0.19243976   0.0022360367      0.3016046   0.0035044679
             50     0.11014872   0.0015965642    0.089167579   0.0013000128     0.13975289   0.0020256655
             60    0.061248647   0.0011162225    0.049171468  0.00090125517    0.077710167   0.0014162246
             70    0.037249599  0.00081066292    0.029642745  0.00064894259    0.047515813   0.0010272647
             80    0.023794355  0.00059766478    0.018789962  0.00047528695     0.03063348  0.00076354401
             90    0.016939885  0.00048497526    0.013297296  0.00038337359    0.021962419  0.00062379391
            100    0.011480275  0.00036540845   0.0089495155  0.00028714837    0.015007853  0.00047340331
            110   0.0081130984  0.00030008271   0.0062889275  0.00023444554    0.010677015  0.00039139595
            120   0.0061552133  0.00024520749   0.0047357506  0.00018985162   0.0081722534  0.00032334861
            130   0.0047134504  0.00020921493   0.0036113204  0.00016143633   0.0062881291  0.00027684615
            140   0.0036403209  0.00017580228   0.0027791859  0.00013533024   0.0048776541  0.00023330591
            150   0.0026284223   0.0001399811   0.0019990573  0.00010727025   0.0035378121  0.00018679697
            160   0.0020982724  0.00012348138    0.001587958  9.4296193e-05   0.0028411688  0.00016551033
            170    0.001421774  9.0602012e-05   0.0010689688  6.8600022e-05   0.0019401935  0.00012267806
            180   0.0012371735  8.8123195e-05  0.00092928617  6.6580935e-05   0.0016898785  0.00011957653
            190  0.00098944469  7.2315721e-05  0.00073894492  5.4509451e-05   0.0013608089  9.8408096e-05
            200  0.00098944469  7.2315721e-05  0.00073894492  5.4509451e-05   0.0013608089  9.8408096e-05
